Nom,Hauteur a maturite (mm),Période de floraison START,Période de floraison END,Type,Forme,Sol,pH Sol,Rusticite,Besoin en Eau,Besoin en Soleil,Teinte,Periodicite,Photo URL,Description,Conseils,Model
Coquelicot,150 - 1000,4,7,Fleur,-1,"Calcaire, Sableux, Caillouteux","14, 7",0,1,9,"Blanche, Orange, Rouge, Rose, Violet",Annuelle,https://media.ooreka.fr/public/image/plant/161/mainImage-full-11453324.jpg,"Sa lumineuse et gracile beauté a inspiré de nombreux peintres et poètes. La couleur éclatante du coquelicot est précieuse pour occuper les endroits secs et ensoleillés du jardin. Facile à semer, il lui donne un aspect sauvage.","La culture du coquelicot est aisée. Une fois semé sur des terrains bien drainés, il les recouvrira très rapidement. Le coquelicot supporte mal la transplantation, c’est pourquoi il n’est reproduit que par semis. Le coquelicot ne demande aucun entretien pendant toute la durée de sa courte vie. Il ne craint pas la sécheresse et se ressème naturellement d’une année sur l’autre.",3
Courgette,450 - 1000,5,10,Legume,-1,Humus,7,1,5,9,"Vert, Jaune",Annuelle,https://media.ooreka.fr/public/image/plant/18/mainImage-full-9167732.jpg,"De culture facile, la courgette est idéale pour les jardiniers débutants. Ronde ou allongée, la courgette se déguste crue en salade, cuite, sautée, voire farcie. Très productive, faites-lui une place au soleil dans votre jardin.","La courgette aime un climat tempéré et une exposition chaude et ensoleillée. Elle préfère un sol léger, bien drainé et riche en humus.

La courgette se plante généralement en pleine terre. On peut la semer ou l'acheter en godet. Elle donne une production très généreuse, quelques pieds suffisent pour nourrir une famille.

Au potager, elle s'associe bien avec le chou, le haricot à rames et le maïs sucré. Elle ne s'entend pas avec la pomme de terre, le radis ou encore le concombre.",-1
Crocus,0 - 300,"2, 9","5, 12",Fleur,-1,"Calcaire, Caillouteux",7,9,5,7,"Blanche, Jaune, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/75/mainImage-full-9411807.jpg,"Le crocus est une petite fleur à la floraison précoce qui embellit, par ses multiples couleurs unies ou multicolores, nos jardins, terrasses et balcons. C’est une plante très facile à cultiver qui résiste bien aux parasites.","Le crocus aime une exposition ensoleillée voire la mi-ombre pour certaines espèces et à l'abri des vents forts pour les crocus printaniers.

Cette plante à fleurs n'aime pas l'humidité et préfère un sol bien drainé, même calcaire.

On peut planter le crocus en rocailles, en groupes dans des massifs d'arbustes, au pied des arbres en sous-bois, sur une pelouse ou en pots.",8
Edelweiss,150 - 300,5,9,Fleur,-1,"Calcaire, Caillouteux","14, 7",9,1,9,Blanche,Vivace,https://media.ooreka.fr/public/image/plant/96/mainImage-source-9506722.jpg,"L’edelweiss est une plante des montagnes très appréciée. Ses fleurs laineuses, blanches comme de la neige et ressemblant à des étoiles, reposent sur un feuillage d’argent. Il décore magnifiquement les rocailles, mais aussi les jardinières.","L'edelweiss apprécie les sols pauvres, secs, rocailleux, voire calcaires. Une terre trop riche entraîne la disparition de son aspect duveteux.

Supportant mal l'humidité, il doit être installé dans un sol bien drainé.

Il est idéal en rocaille, mais s'adapte à la plantation en potée ou sur un muret. Il apprécie les situations bien ensoleillées, mais non brûlantes.",5
Fraisier,150 - 450,3,8,Arbuste,Tapis,"Sableux, Humus","7, 0",9,5,7,"Blanche, Rouge, Rose",Vivace,https://media.ooreka.fr/public/image/plant/274/furtherImage/5yp4ojwkjdgcgs4gowkk0gw4k-source-11550926.jpg,"À croquer tout juste cueillie, en dessert, sorbet ou confiture, elle est plébiscitée par les enfants et les grands. Petite fraise des bois ou fraise cultivée, elle fait l’unanimité pour son parfum exquis. C’est aussi l’un des premiers fruits au jardin.","Le fraisier apprécie un sol riche, meuble et profond, qui reste frais en été, plutôt neutre ou légèrement acide, et une exposition bien ensoleillée pour les variétés à gros fruits, alors que les fraises « des quatre saisons » (type fraise des bois) tolèrent la mi-ombre. Le fraisier se plante également en pot, dans un mélange de terreau de feuilles et de terre de jardin enrichi en compost ou dans un terreau spécial fraisier.",-1
Framboisier,600 - 2000,"4, 7","5, 8",Arbuste,"Buissonnant, Palissable","Calcaire, Sableux, Caillouteux","14, 7, 0",9,6,7,"Blanche, Vert",Vivace,https://media.ooreka.fr/public/image/plant/2/mainImage-source-8587589.jpg,"Sous-arbrisseau voisin de la ronce, le framboisier est cultivé pour ses fruits délicats et parfumés. Peu exigeant, le framboisier pousse bien dans quasiment tous les sols.","Le framboisier est une plante de bord de forêt qui n'est pas exigeante. Il pousse bien dans quasiment tous les sols, toutefois il craint les terres argileuses et son rendement sera meilleur dans une terre riche, légère, fertile et fraîche.

En général, on l'installe en bordure de potager. Pour protéger vos récoltes des oiseaux, vous pouvez étendre des filets sur vos framboisiers. Faites-les descendre jusqu’en bas, sans quoi certains se faufileront par en dessous.",-1
Gardénia,600 - 2000,"1, 5","3, 10",Fleur,-1,"Bruyère, Humus",0,3,5,7,Blanche,Vivace,https://media.ooreka.fr/public/image/plant/101/mainImage-source-9507034.jpg,"Le gardénia est une superbe plante au parfum inimitable, envoûtant et persistant, qui décore magnifiquement vos intérieurs, balcons et terrasses. Sa floraison est relativement longue mais sa culture exigeante.","Le gardénia apprécie une terre acide, fraîche et bien drainée. Il aime aussi les sols riches en matière organique et craint le calcaire.

On le cultive généralement en intérieur.  Il est préférable d'arroser le gardénia avec de l'eau de pluie ou de l'eau de source quelconque. Évitez absolument l'eau calcaire qui ferait jaunir le feuillage.",2
Hortensia,1000 - 10000,6,9,Arbuste,"Buissonnant, Grimpant","Sableux, Bruyère, Humus","7, 0",9,9,5,"Blanche, Rouge, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/23/mainImage-source-9206664.jpg,"L’hortensia est facile à vivre. Isolé, en massif, en haie ou en bordure, sa floraison abondante de juin à septembre embellit parfaitement nos jardins et nos terrasses. L'hortensia se plaît aussi en pot pour embellir terrasses et balcons.","L'hortensia apprécie une exposition mi-ombragée ou un soleil doux. L'orientation nord-ouest est idéale pour les arbustes caducs. De plus, ils résistent bien aux hivers aux climats tempérés.

On peut les planter dans les jardins en groupe isolé, en massif, haie ou en bordure. Les hortensias se plaisent aussi en pot pour embellir nos terrasses et nos balcons.",7
Jacinthe,150 - 450,12,6,Fleur,-1,"Sableux, Humus","14, 7",9,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/81/mainImage-full-9415527.jpg,La jacinthe est une plante au parfum enivrant et aux feuilles allongées. Ses fleurs très odorantes se disposent en grappes régulières et bien dressées. Elle saura égayer votre intérieur comme votre jardin par ses multiples couleurs.,"Idéalement, la jacinthe pousse dans des sols légers, riches en humus et bien drainés. Les sols normaux ou sableux conviennent aussi. N’oubliez pas que le bulbe de jacinthe est toxique. Il peut provoquer chez l’homme des démangeaisons urticantes voire des troubles gastro-intestinaux. Il est donc recommandé de prévoir des gants.",8
Jasmin,2000 - 10000,12,9,Arbuste,"Grimpant, Palissable","Calaire, Caillouteux, Humus, Terreau",7,5,5,7,"Blanche, Jaune, Rouge, Rose",Vivace,https://media.ooreka.fr/public/image/plant/10/mainImage-source-9134765.jpg,"Le jasmin est une plante grimpante d’entretien facile fournissant des fleurs au parfum envoûtant et aux couleurs variées. Il décore magnifiquement les jardins, balcons, terrasses ou pergolas en été ou en hiver selon les variétés.","Le jasmin apprécie les endroits chauds et à l'abri des vents, excepté pour le jasmin nudiflorum qui est beaucoup plus rustique et supporte une exposition au nord. Après la floraison du jasmin, supprimez les tiges les plus vieilles pour l'éclaircir. Cela permettra aussi de produire de nouvelles pousses.",1
Kumquat,2000 - 5000,6,8,Arbuste,Buissonnant,"Sableux, Humus","7, 0",5,5,9,Vert,Vivace,https://media.ooreka.fr/public/image/plant/71/mainImage-source-9450208.jpg,"Le kumquat est un bel arbre fruitier très décoratif à faible développement. Ses fleurs blanches parfumées embaument, terrasse, balcon ou jardin. C’est le seul agrume dont on déguste les fruits avec la peau.","Le kumquat apprécie les endroits ensoleillés, chauds et à l'abri des vents. Il aime un sol riche, frais et bien drainé, voire profond et sableux. Il déteste les terres calcaires.

Il tolère des températures jusqu'à -11 °C, cependant les fruits gèlent à -5 °C.",-1
Laurier-rose,600 - 5000,6,10,Arbuste,Buissonant,"Argileux, Calcaire, Sableux, Caillouteux, Humus, Terreau","14, 7, 0",4,5,9,"Blanche, Orange, Rouge, Rose, Jaune",Vivace,https://media.ooreka.fr/public/image/plant/11/mainImage-full-11440196.jpg,"Superbe arbuste au feuillage persistant, très florifère du printemps à l'automne. Pousse aussi bien en bac qu'en pleine terre. S'il quitte volontiers le Midi pour jouer plus au nord les stars de l'été, il reste frileux et réclame abri au premier froid.","Tout risque de gelée écarté, n'hésitez pas à transférer votre laurier-rose à l'extérieur dans un grand pot. Vous pouvez également le planter directement dans votre jardin en prenant soin de mélanger la terre de celui-ci avec du terreau.

L'arrosage doit être régulier en période de floraison, sans pour autant inonder les racines. Le laurier-rose n'apprécie pas l'excès d'humidité.",-1
Lavande,300 - 1500,4,9,Arbuste,"Buissonnant, Arrondi","Argileux, Calcaire, Sableux, Caillouteux, Humus, Terreau","14, 7, 0",3,1,9,"Blanche, Violet, Rose, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/19/mainImage-source-13641469.jpg,"La lavande est un élégant arbrisseau qui symbolise la Provence et le soleil. Ses rameaux simples, touffus et dressés sont pourvus de feuilles vert cendré. Ses fleurs aux teintes pastel dégagent un parfum suave et pénétrant.","La lavande affectionne les sols légers, pauvres et bien drainés. Son parfum en sera plus intense. La lavande ne nécessite pas d'entretien particulier mis à part quelques arrosages espacés pour les sujets en pot. La première année de plantation, pensez toutefois à effectuer quelques arrosages en été pour permettre à la plante de mieux s'installer.",6
Lierre,1000 - 10000,10,11,Arbuste,"Tapis, Buissonnant, Grimpant","Argileux, Calcaire, Caillouteux, Humus, Terreau",14,7,6,5,"Vert, Jaune, Rouge, Gris",Vivace,https://media.ooreka.fr/public/image/plant/72/mainImage-source-9393603.jpg,"Parfaitement acclimaté dans toutes nos régions, facilement cultivable et poussant rapidement, le lierre (ou hedera) est bien utile pour habiller joliment un mur, un abri de jardin, une pergola ou couvrir un sol ingrat, tout au long de l’année.","De culture très facile, poussant aussi bien à l'ombre qu'au soleil (sauf quelques rares variétés), les lierres prospèrent même sur les sols les moins riches. Vous pouvez installer un support (treillage, grille...) contre une façade pour guider votre lierre, tout en l'écartant un peu du mur, et assurer ainsi une meilleure circulation de l'air.

Son étalement sera plus régulier et cela le protégera de certains parasites.",-1
Lilas,600 - 10000,4,9,Arbuste,Buissonnant,"Calcaire, Humus","14, 7",9,1,7,"Blanche, Rouge, Rose, Violet, Bleu",Vivace,https://media.ooreka.fr/public/image/plant/184/furtherImage/b8bq8jxtqu0co0k4k8w8sc408-source-9770896.jpg,"Sa floraison abondante et parfumée marque l’arrivée du printemps. Rustique et ne demandant que peu d’entretien, cet arbuste buissonnant se reproduit spontanément par les racines, formant de beaux massifs et de belles haies odorantes.","Les lilas ayant une croissance lente les premières années puis plus rapide après vous n'avez pas intérêt à les semer. Les deux premières années après la plantation, arrosez régulièrement en été et en automne si nécessaire. Vous pouvez également le pailler.
Ensuite, le lilas est rustique et résiste bien à la sécheresse car il arrête sa croissance en juillet.
Il appréciera l'ajout d'engrais au printemps, mais ce n'est pas indispensable.",6
Lys,600 - 2000,5,9,Fleur,-1,"Sableux, Humus","14, 7, 0",7,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/141/mainImage-source-9671668.jpg,"Le lys ou lis, à la floraison spectaculaire et très parfumée, est d’un entretien très facile. Les multiples couleurs de ses magnifiques fleurs embellissent les jardins, les balcons et les terrasses. Il a l’avantage de refleurir d’année en année.","Le lys préfère une situation ensoleillée ou à la mi-ombre et à l'abri du vent. Il aime presque tous les sols, mais apprécie plus particulièrement les sols bien drainés, légers et riches en humus. De nombreuses variétés de lys redoutent le calcaire, l'excès d'humidité, mais aussi la sécheresse. Supprimez les fleurs fanées au fur et à mesure et coupez la tige aux deux tiers de sa longueur lorsqu’elles sont toutes fanées. Fertilisez tous les 15 jours à partir de mai jusqu’à septembre avec un engrais liquide pour plantes fleuries.",2
Magnolia,2000 - 10000,3,9,Arbuste,"Arrondi, Conique","Argileux, Calcaire, Humus, Bruyère","7, 0",7,6,7,"Blanche, Jaune, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/12/mainImage-source-9140381.jpg,"C'est certainement l'un des plus beaux arbres à floraison printanière. Au sortir de l'hiver, il se couvre de fleurs spectaculaires et généreuses qui varient du blanc pur au blanc rosé et au rouge rubis.","Le résultat d'un semis de graines de magnolia est très aléatoire et il vous faudra être patient avant de voir votre magnolia fleurir ! Pour augmenter les chances de levée, semez les graines les plus fraîches possible. Le magnolia a besoin de peu d'entretien et semble bien résister aux maladies.",10
Mimosa,1000 - 10000,11,3,Arbre,"Arrondi, Tapis, Tombant","Sableux, Caillouteux","7, 0",3,1,8,"Jaune, Vert, Gris",Vivace,https://media.ooreka.fr/public/image/plant/13/mainImage-source-9134477.jpg,"Au plus fort de l'hiver, le mimosa illuminera votre jardin ou votre véranda grâce à sa floraison d'un jaune éclatant au parfum enivrant. En pleine terre dans le Sud et sur la côte atlantique, ou en bac ailleurs, sa culture est possible partout en France.","Le mimosa aime le soleil, la chaleur et les sols drainés. Il n'aime pas en général les sols argileux, lourds (et calcaires sauf pour certaines espèces comme le mimosa des 4 saisons). Il craint les fortes gelées et les vents secs desséchants. Sauf s'il est en pot, le mimosa ne demande pas beaucoup d'arrosage. L'excès d'humidité peut pourrir les racines et tuer l'arbre.",-1
Narcisse,150 - 600,2,5,Fleur,-1,"Argileux, Calcaire, Sableux",7,9,5,7,"Blanche, Jaune, Orange",Vivace,https://media.ooreka.fr/public/image/plant/43/mainImage-full-9228723.jpg,Le narcisse offre un véritable spectacle dans les jardins ou en jardinière quand ils sont plantés en massif ou en groupe. C'est une très belle fleur le plus souvent de couleur jaune mais parfois blanche et à l'entretien facile.,"Le narcisse apprécie les situations ensoleillées ou mi-ombragées. Il aime particulièrement les terres argileuses plutôt fraîches.

On peut l'utiliser par petits groupes, en rocailles, sous-bois, massifs, en pot . Le narcisse ne demande aucun entretien particulier.",4
Noisetier,2000 - 5000,1,3,Arbuste,Buissonnant,"Argileux, Sableux, Calcaire, Humus","14, 7, 0",9,5,7,"Vert, Jaune",Vivace,https://media.ooreka.fr/public/image/plant/341/furtherImage/3dn70bx2jb8k8g80cs0kg48og-source-11710188.jpg,"Décoratif, utile et productif, le noisetier ne manque pas d’atouts. De plus, il est rustique, jamais malade, pousse dans tous les sols et ne demande que peu d’entretien. Quant aux noisettes, leurs bienfaits n’ont d’égal que leur goût délicieux !","Rustique, le noisetier pousse aussi bien en bord de mer qu’en Île-de-France ou en montagne, à la mi-ombre comme au plein soleil. Cependant, sa floraison et donc sa fructification seront meilleures dans un lieu lumineux et pas trop froid. Les deux premières années, arrosez tous les 15 jours en été et veillez à conserver le sol propre en cours de végétation.

Tous les ans à l'automne, apportez une ou deux pelletées de compost.",-1
Œillet,300 - 1000,4,12,Fleur,-1,"Calcaire, Calliouteux, Humus, Terreau","14, 7",7,5,7,"Blanche, Jaune, Orange, Rouge, Rose, Violet",Vivace,https://media.ooreka.fr/public/image/plant/105/mainImage-source-9535452.jpg,"L’œillet, à la floraison abondante et au parfum délicat, orne de ses magnifiques fleurs aux couleurs très variées nos jardins, balcons et terrasses durant tout l’été. De plus, il est très facile à cultiver.","L'œillet aime les sols ordinaires, bien drainés même secs, et plutôt calcaires. Il craint les sols acides.

Il apprécie les expositions ensoleillées ou légèrement ombrées.",3
Oeillet d'Inde,300 -1000,5,10,Fleur,Buissonnant,"Argileux, Calcaire, Humus, Terreau",7,1,1,9,"Jaune, Orange, Rouge",Annuelle,https://media.ooreka.fr/public/image/plant/36/mainImage-full-9218636.jpg,"L’œillet d’Inde est une plante très florifère et facile à cultiver. Sa floraison jaune, orange ou rouge embellit jardins, balcons, terrasses. Au potager, elle est aussi réputée pour éloigner les insectes comme les nématodes.","L'œillet d'Inde apprécie les expositions chaudes et bien aérées. Il aime les sols légers, même pauvres et secs. Un bon drainage est essentiel.

L'œillet d'Inde ne demande pas d'entretien spécifique.",3
